CODCANDIDATO,serie,categoria,linguagens,matematica,ciencias_humanas,ciencias_natureza,concluiu_fundamental,concluiu_medio,concluiu_prova_unica
20359660,2.0,medio,True,True,True,True,False,True,True
20359663,2.0,medio,True,True,True,True,False,True,True
23072078,2.0,medio,False,False,False,False,False,False,False
23708478,1.0,medio,True,True,True,True,False,True,True
23708482,1.0,medio,False,False,False,False,False,False,False
23708490,1.0,medio,False,False,False,False,False,False,False
23708495,1.0,medio,True,True,True,True,False,True,True
23708497,1.0,medio,True,True,True,True,False,True,True
23708498,1.0,medio,True,True,True,True,False,True,True
23708499,1.0,medio,True,True,True,True,False,True,True
23708504,1.0,medio,False,False,False,False,False,False,False
23708512,1.0,medio,True,True,True,True,False,True,True
23708513,1.0,medio,False,False,False,False,False,False,False
23708514,1.0,medio,True,True,True,True,False,True,True
23708517,1.0,medio,False,False,False,False,False,False,False
23708520,1.0,medio,True,True,True,True,False,True,True
23708521,1.0,medio,False,False,False,False,False,False,False
23708524,1.0,medio,True,True,True,True,False,True,True
23708527,1.0,medio,True,True,True,True,False,True,True
23708528,1.0,medio,False,False,False,False,False,False,False
23708530,1.0,medio,True,True,True,True,False,True,True
23708531,1.0,medio,False,False,False,False,False,False,False
23708532,1.0,medio,True,True,True,True,False,True,True
23708533,1.0,medio,False,False,False,False,False,False,False
23708536,1.0,medio,True,True,True,True,False,True,True
23708537,1.0,medio,False,False,False,False,False,False,False
23708538,1.0,medio,True,False,False,False,False,False,False
23708539,1.0,medio,False,False,False,False,False,False,False
23708540,1.0,medio,False,False,False,False,False,False,False
23708543,1.0,medio,True,True,False,False,False,False,False
23708550,1.0,medio,False,False,False,False,False,False,False
23708551,1.0,medio,True,False,False,False,False,False,False
23708556,1.0,medio,False,False,False,False,False,False,False
23708557,1.0,medio,False,False,False,False,False,False,False
23708564,1.0,medio,True,True,True,True,False,True,True
23708565,1.0,medio,True,True,True,True,False,True,True
23708567,1.0,medio,False,False,False,False,False,False,False
